"gene","module","kWithin","kME","GS"
"C11orf52","blue",0.984286476102373,0.972382898034213,0.22138268398109
"NAALADL1","blue",0.966723832964228,0.962927294165189,0.221130066513941
"DHRS11","blue",1,0.977457619718778,0.212510761965458
"CYB5A","blue",0.932151591841758,0.931924158057888,0.230128856307827
"DNASE1","blue",0.946333909649953,0.949225048170323,0.223866198510415
"GDPD2","blue",0.949409091156719,0.95242799677659,0.222514000192821
"HSD17B2","blue",0.936427988012149,0.943296414500155,0.22638031595141
"NAT8","blue",0.845834424468451,0.916866711250563,0.245049186937141
"CLRN3","blue",0.923549123322248,0.943752757522237,0.226404395552123
"PRKCZ","blue",0.960292002163664,0.961936119384508,0.216341966191616
"INPP5J","blue",0.896125170885265,0.952555328530989,0.227265731856235
"SULT2B1","blue",0.805427924718751,0.887206832660673,0.254312270500537
"PMM1","blue",0.913363212423585,0.927670953597713,0.229391640714551
"HEBP1","blue",0.942177279572722,0.942513283326457,0.221824023863334
"MS4A8","blue",0.917532306058689,0.943068621205771,0.224235597262699
"PCK2","blue",0.958228328708882,0.952308439035825,0.215427280270623
"TMEM120A","blue",0.967519720770327,0.956717349885362,0.212699309250032
"C6orf136","blue",0.899833932457157,0.926544898732926,0.22877884957442
"PEPD","blue",0.91680680456476,0.932672061581421,0.224906524616696
"ISX","brown",0.846652542808012,0.884182330310972,0.263714329877747
"LRRC75A","brown",0.918131229864018,0.922126716953519,0.245035027758427
"NAT2","brown",0.939738426427312,0.929719019459336,0.237186914576748
"VSIG10","brown",0.970285276701501,0.951397399547817,0.220191611906565
"SMPD3","brown",0.963775437414498,0.945867818977837,0.221655003343082
"CDKN2B","brown",0.944991351165311,0.940660083186496,0.221722262863587
"TDP2","brown",0.923875861603821,0.924209944407316,0.225900088761557
"DHRS4-AS1","brown",0.964462196940515,0.946046084225709,0.215538852541061
"MAOB","brown",0.957131804118196,0.948889285020395,0.215912147339881
"PGRMC1","brown",0.976836211715253,0.958340457687319,0.208856057372232
"EDN3","brown",0.977615116242769,0.951157251018194,0.209914409001549
"MEP1B","brown",0.993284764907889,0.961689965878885,0.201925256133515
"ERBB2","brown",0.898420047580193,0.912191224664289,0.225012851751055
"NR1I2","brown",0.912548629439462,0.921066475586774,0.22073652059047
"TMIGD1","brown",0.934336032369316,0.937919327638001,0.213623213337697
"GATA6","brown",0.858171136688945,0.892650125094749,0.233449621775296
"GBA3","brown",0.984153058134534,0.953963971439795,0.202563031954155
"MZB1","green",0.85556973165811,0.950330668681737,0.252671202220366
"ACTN1","turquoise",1,0.915342780584227,0.239973835492015
"XBP1","turquoise",0.814071344183124,0.898447469609867,0.270861789918843
"SLAMF7","turquoise",0.960579703838955,0.925034499128019,0.233556530742325
"ENG","turquoise",0.858126975463327,0.899873532238273,0.24949341615826
"ANXA5","turquoise",0.865787697053796,0.904262568494791,0.240625508017774
"PRCP","turquoise",0.965271418760755,0.887148761436997,0.223731395685114
"THY1","turquoise",0.828661506627476,0.872665560183654,0.245097469815788
"RAMP3","turquoise",0.873437537866619,0.897487157632549,0.227849720739025
"PIM2","turquoise",0.920227106382621,0.912300715285807,0.215499133158024
"FAM46C","turquoise",0.885662835987907,0.878673303351111,0.228067740523937
"WARS","turquoise",0.792713601095,0.930146674403116,0.233843165215592
"VWA1","turquoise",0.900076902430611,0.78421936988693,0.240399522375077
"PTRF","turquoise",0.84188047153685,0.884572563388685,0.230957060775178
"S100A11","turquoise",0.741572658618745,0.80754827983136,0.26437979275264
"LITAF","turquoise",0.817221195560088,0.940147531064791,0.224051927373159
"NT5DC2","turquoise",0.848524331070971,0.895783641042114,0.224704959943622
"LINC00152","turquoise",0.73748227363253,0.844845580636329,0.255296458820088
"IMPDH1","yellow",0.870204276060819,0.954130035796489,0.197349056222637
"CECR1","yellow",0.871751286559458,0.921819431606245,0.205255870695369
"PLEKHO2","yellow",0.993531984571839,0.909403871872292,0.177213983344379
"MSN","yellow",0.949901756531284,0.928132476991007,0.176133931566458
"CD300A","yellow",0.810371219067243,0.94063705523418,0.191677605086838
"PARVB","yellow",0.855952010302758,0.938378846026539,0.182056563508281
"CYBB","yellow",0.91048722189779,0.931514845400675,0.17322927028075
"GLIPR1","yellow",0.812538614105855,0.95246226398096,0.179264660150574
"PREX1","yellow",0.848610255157181,0.974807967098147,0.159018265508119
"LPCAT1","yellow",0.909103403676951,0.905220479747474,0.177911607753317
"SPI1","yellow",0.752402812347586,0.932249073100468,0.192933445259101
"NCF1","yellow",0.842210385449085,0.942452936191388,0.171240775891355
"SLA","yellow",0.940762053276778,0.933233553845516,0.156090528787077
"TRIM22","yellow",0.841907992027268,0.919981345342217,0.179250194747439
"IFI16","yellow",0.918147800616584,0.913725368834447,0.16802160613366
"LCP1","yellow",0.965995508746732,0.933541175941286,0.150030713098741
"STAT5A","yellow",0.968063379821413,0.941954719046604,0.145858712193828
"MAP4K4","yellow",0.839971067911824,0.888112869602434,0.192669316320524
"PLXND1","yellow",0.788191033027187,0.920845437941139,0.186275450385748
"QKI","yellow",0.752271191100656,0.885815277506904,0.208456593709372
