metabolite,A002,A004,A006,A007,A011,A012,A014,A015,A016,A018,A020,A022,A024,A025,A026,A028,A030,A031,A032,A033,A035,A036,A040,A041,A042,A044,A045,A047,A050,A051,A052,A056,A057,A060,A061,A062,A063
1-Aminocyclopropanecarboxylate,0.003055112,0.004323399,0.008658629,0.009868514,0.007821688,0.005412199,0.004186461,0.004482548,0.009122409,0.00535824,0.006963489,0.005914689,0.003501411,0.003869796,0.00212467,0.007180265,0.006099897,0.00556623,0.006090341,0.002715095,0.007108524,0.006238064,0.010153693,0.007197852,0.01041556,0.006074102,0.00554335,0.007721651,0.006202849,0.004728336,0.004702802,0.005004558,0.006141002,0.005435702,0.005818836,0.003975747,0.002834484
1-Methyladenosine,0.004149717,0.006611016,0.010336455,0.005876847,0.045598014,0.006110913,0.008751517,0.021475342,0.008972751,0.003567513,0.010995548,0.005501392,0.003631423,0.007663958,0.004277787,0.008056976,0.006095618,0.00387113,0.005480138,0.004767358,0.00886806,0.011844305,0.009374488,0.006444958,0.015896656,0.568870226,0.008974424,0.006796471,0.002206451,0.00996797,0.005427447,0.006400348,0.005818619,0.003184428,0.003015152,0.014414002,0.003475745
10-HAD,0.03788566,0.029633443,0.02413944,0.034155045,0.01791022,0.042968979,0.025970674,0.032681811,0.025157135,0.093800068,0.017694547,0.017887732,0.03539177,0.016476219,0.020505901,0.02412211,0.049080771,0.070330655,0.039313614,0.022486776,0.05993535,0.014324193,0.012863718,0.008189231,0.016559791,0.031813832,0.008483475,0.046161132,0.039351307,0.028116959,0.014441441,0.027894925,0.015162972,0.019889262,0.057050517,0.04204279,0.016737155
10-Hydroxydecanoic acid,0.011218155,0.014446424,0.002626457,0.023258816,0.001723856,0.018500713,0.020601867,0.014179609,0.011664737,0.04406457,0.009069894,0.015877563,0.016885147,0.007841949,0.012847071,0.018335778,0.029059817,0.037747465,0.021520613,0.009388702,0.012613626,0.00996797,0.007137778,0.001514915,0.009181417,0.016920263,0.005458203,0.023315994,0.022846533,0.009903933,0.012224139,0.016904898,0.016531715,0,0.027486247,0.016275168,0.009956986
13Z-16Z-docosadienoic acid,0.012219951,0,0.010521899,0,0,0,0,0,0,0,0,0,0,0.001727224,0,0,0,0.016121062,0.011423128,0,0.017983043,0,0,0,0,0,0.007226712,0,0,0.025714501,0,0,0,0.00551759,0.047504827,0,0
14-Methylhexadecanoic acid,0.237956584,0.444700801,0.250472866,0.130994011,0.034907014,0.121964801,0.11628935,0.074741355,0.064939291,0.264771281,0.049429746,0.054109725,0.089756878,0.080636203,0.074980173,0.097440115,0.316245563,0.435924311,0.270985144,0.027869528,0.356641415,0.022774262,0.103498857,0.06187845,0.091105226,0.057242237,0.225875715,0.279666189,0.150445726,0.217655052,0.079446174,0.189312412,0.081170614,0.11428152,0.549514789,0.114451001,0.095857752
2 Deoxy D Glucose,0.00556055,0.004314895,0.001460166,0.004738126,0.016567038,0.02700974,0.009010385,0.01566977,0.08262755,0.010979998,0.009409182,0.158479377,0.080381798,0.07931103,0.00357277,0.004948373,0.007376552,0.007972168,0.004288941,0.086762908,0.010421928,0.078139919,0.027969216,0.071495302,0.004856618,0.008093927,0.025321028,0.007177056,0.003359261,0.002339838,0.034391265,0.0306814,0.002995781,0.016950263,0.003475072,0.010062118,0.001354756
2-Acetamido-2-Deoxy-Beta-D-Glucosylamine,0.013306476,0.02743298,0.007795514,0.02841899,0.008138551,0.010442313,0.010311321,0.015994755,0.018826076,0.011307211,0.018601857,0.009509958,0.0093067,0.009151144,0.004731408,0.008227784,0.017066178,0.015910536,0.012457294,0.012883443,0.017423841,0.012773416,0.090141991,0.011250025,0.035559526,0.033335885,0.013872293,0.032582324,0.021943805,0.013597788,0.018879236,0.009552511,0.017506084,0.020111503,0.004941553,0.006057956,0.007786538
2-Aminoisobutyrate,0.160589704,0.151210781,0.189304417,0.130105895,0.162634082,0.608330652,0.052170649,0.361958782,0.154466944,0.29043753,0.407574885,0.051025644,0.154835515,0.273822897,0.136973699,0.07301565,0.104043854,0.152060031,0.085497183,0.451722882,0.130499893,0.108595182,0.697314983,0.127683705,0.166059222,0.202715252,0.042425591,0.119417868,0.150699725,0.068076695,0.290508111,0.463958083,0.067993026,0.517584899,0.099662774,0.153136426,0.033907926
2-Aminophenol,0.010810736,0.011491704,0.004329271,0.006979832,0.001129027,0.01031526,0.006311657,0.005814282,0.006499455,0.052260885,0.001656173,0.003477962,0.006798988,0.004571659,0.003738011,0.004711082,0.023379002,0.026894851,0.007800801,0.002301932,0.012481715,0.001249514,0.00312376,0.001679933,0.005241475,0.012916986,0.00184848,0.020495761,0.015143564,0.003819749,0.001744639,0.006337965,0.005508436,0.003176644,0.022099361,0.039520923,0.003328023
